,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
352,580000,7/22/14,1.5,4,1861,1477,2,Good,Average,1924,2014,DC
353,1200000,6/2/14,3.5,5,2038,1770,2,Good,Above Average,1914,2017,DC
354,2850000,6/23/14,5,4,3400,2276,3,Very Good,Very Good,2009,2014,DC
355,700000,12/12/14,2.5,3,1640,2106,2,Average,Good Quality,1946,2016,DC
356,960000,1/2/15,3.5,2,1730,1975,2,Very Good,Good Quality,1890,2016,DC
357,874250,11/17/14,2.5,3,1266,870,2,Good,Above Average,1907,2014,DC
358,141090,2/13/15,2.5,0,1951,1626,3,Average,Good Quality,1900,0,DC
359,851500,5/19/14,2.5,2,2031,917,3,Good,Good Quality,1910,1990,DC
360,905000,7/14/14,3.5,3,1692,656,3,Excellent,Very Good,2010,0,DC
361,900000,12/3/14,3.5,4,1692,656,3,Very Good,Very Good,2010,0,DC
362,950000,4/17/15,4.5,4,1692,1011,3,Excellent,Very Good,2010,0,DC
363,1032500,4/27/15,3.5,4,1872,974,3,Excellent,Very Good,2010,0,DC
364,615000,11/4/14,3.5,3,1132,840,2,Very Good,Above Average,1900,0,DC
365,450000,2/19/15,1,2,876,734,2,Good,Average,1900,2005,DC
366,655000,8/6/14,2,2,946,560,2,Good,Good Quality,1905,2010,DC
368,642000,6/5/14,1.5,3,1488,1425,2,Average,Above Average,1900,0,DC
370,679990,6/20/14,2,4,2702,2255,2,Fair,Above Average,1910,0,DC
371,700000,5/15/15,2.5,2,1640,1240,2,Average,Above Average,1966,0,DC
372,750000,2/11/15,3.5,3,1640,1240,2,Average,Above Average,1966,0,DC
373,775000,8/1/14,3.5,3,1158,669,2,Very Good,Good Quality,1900,2014,DC
374,163390,5/20/15,2.5,3,1158,918,2,Good,Good Quality,1900,2007,DC
376,540000,2/19/15,1,3,1280,1910,2,Average,Average,1991,0,DC
377,554064,9/5/14,2,4,1534,1486,2,Average,Average,1924,1987,DC
378,600000,3/3/15,2,2,2266,1462,2,Fair,Average,1924,0,DC
379,640000,3/11/15,2,6,2604,1800,2,Average,Average,1912,0,DC
381,429500,4/30/15,1,2,736,605,2,Good,Average,1910,0,DC
382,442000,10/24/14,2,4,1764,1521,2,Average,Above Average,1907,0,DC
383,442000,2/6/15,1.5,3,1764,1511,2,Average,Above Average,1907,0,DC
384,579000,1/22/15,2.5,2,1352,807,2,Good,Above Average,1900,2009,DC
385,723000,4/9/15,2.5,2,1458,1171,2,Good,Above Average,1900,2014,DC
386,242640,11/26/14,2.5,3,1628,1031,2,Average,Above Average,1900,2001,DC
387,1175412,8/4/14,3.5,3,2268,1800,3,Good,Above Average,1978,2008,DC
388,895000,2/24/15,2.5,3,1200,1317,2,Good,Above Average,1909,2010,DC
392,557000,6/27/14,2,4,1088,1038,2,Good,Average,1925,2014,DC
393,995125,5/8/15,1.5,3,1498,2177,2,Good,Average,1908,2008,DC
394,1900000,3/30/15,3.5,4,3142,3266,2,Good,Good Quality,1911,2010,DC
395,800000,11/4/14,1.5,3,1610,1260,2,Good,Good Quality,1910,2011,DC
396,853000,7/7/14,2.5,3,2064,1380,2,Good,Above Average,1850,2015,DC
399,660375,11/13/14,2.5,3,1600,1380,2,Good,Average,1940,2003,DC
402,660000,8/5/14,1.5,3,1264,1050,2,Very Good,Above Average,1890,2009,DC
403,658000,10/2/14,3,2,1152,940,2,Good,Average,1909,2014,DC
404,885000,12/22/14,3.5,4,1336,1470,2,Very Good,Average,1909,2014,DC
405,745000,5/12/15,2.5,2,1800,1575,2,Very Good,Average,1890,2010,DC
406,1256000,4/7/15,3.5,4,2317,1280,2,Very Good,Good Quality,1909,2015,DC
407,750000,7/29/14,1.5,2,1522,1280,2,Good,Good Quality,1909,2007,DC
410,760000,1/26/15,2,3,1442,966,2,Good,Good Quality,1920,2001,DC
411,840000,6/27/14,2,2,1432,1029,2,Good,Good Quality,1909,2015,DC
413,1183000,6/27/14,3.5,3,1962,1825,2,Good,Good Quality,1890,2011,DC
414,955000,7/24/14,2.5,4,1846,1140,2,Average,Good Quality,1890,1972,DC
415,815000,6/20/14,3.5,3,1410,989,2,Very Good,Average,1925,2005,DC
416,739622,5/8/15,2.5,3,1024,1038,2,Very Good,Average,1925,2011,DC
417,667000,6/6/14,2.5,3,960,1038,2,Very Good,Average,1925,2013,DC
419,1426150,9/19/14,2.5,3,1880,3202,2,Good,Above Average,1900,2016,DC
420,137000,5/5/15,1,4,1372,1440,2,Average,Above Average,1921,1988,DC
421,837000,5/21/14,2,2,1484,1561,2,Average,Good Quality,1909,1977,DC
422,560000,7/16/14,1.5,2,1056,1075,2,Good,Average,1909,2007,DC
423,660000,5/15/15,2.5,2,1176,1075,2,Good,Average,1909,2010,DC
424,870000,9/19/14,2.5,3,1864,1036,2,Good,Good Quality,1911,2014,DC
425,1201000,12/10/14,3,2,2198,1876,2,Good,Good Quality,1900,2000,DC
427,700000,1/12/15,2.5,3,1728,1100,2,Good,Above Average,1905,2012,DC
428,435000,5/20/14,2.5,3,1728,1154,2,Average,Above Average,1910,2014,DC
429,522500,11/21/14,1.5,2,780,739,2,Good,Average,1900,2006,DC
430,1600000,6/25/14,3.5,3,2046,1809,2,Very Good,Above Average,1900,2008,DC
431,670000,12/15/14,2.5,3,1392,1628,2,Good,Above Average,1905,2004,DC
434,820000,5/5/15,2.5,3,1246,828,2,Good,Good Quality,1920,1975,DC
435,665000,9/9/14,2.5,3,1482,1280,2,Good,Good Quality,1909,2015,DC
436,755000,5/19/15,2.5,3,1242,1158,2,Very Good,Good Quality,1909,2011,DC
437,672000,4/28/15,1.5,2,1440,1200,2,Good,Good Quality,1909,1975,DC
438,1190000,2/18/15,3.5,4,2072,1833,2,Good,Above Average,1921,2011,DC
439,570000,10/1/14,1.5,3,1438,2002,2,Average,Above Average,1912,0,DC
440,750000,6/18/14,2.5,3,2058,1321,3,Very Good,Average,1840,2015,DC
442,995000,9/2/14,3.5,4,1400,1023,2,Very Good,Good Quality,1900,2013,DC
443,692000,8/4/14,2,2,1172,980,2,Good,Above Average,1900,2006,DC
444,480000,11/26/14,1,2,676,500,2,Good,Average,1900,2007,DC
445,963000,11/5/14,3.5,3,1411,963,2,Good,Good Quality,1990,2010,DC
446,875000,12/3/14,2.5,5,1478,974,3,Very Good,Good Quality,1890,2015,DC
447,1099000,7/15/14,3,4,2094,1318,3,Good,Good Quality,1885,1995,DC
448,960000,10/29/14,3,2,1600,1600,2,Good,Above Average,1962,0,DC
449,728500,4/2/15,2,3,1039,1307,2,Good,Average,1900,2000,DC
450,550000,7/7/14,1.5,2,840,809,2,Very Good,Average,1925,2014,DC
451,552501,7/21/14,1,2,840,809,2,Very Good,Average,1925,2012,DC
452,551056,10/23/14,1.5,2,840,809,2,Very Good,Average,1925,2007,DC
453,555400,10/23/14,1,2,840,809,2,Very Good,Average,1925,2011,DC
454,740000,6/5/14,1.5,3,1434,1494,2,Good,Good Quality,1901,2010,DC
455,857649,8/22/14,3.5,4,1384,1035,2,Good,Good Quality,1900,2005,DC
